customer_id,signup_date,country,industry,subscription_type,monthly_fee,total_transactions,total_revenue,avg_transaction,std_transaction,first_transaction,last_transaction,successful_transactions,failed_transactions,customer_tenure_days,days_since_last_transaction,transaction_frequency,payment_failure_rate,avg_monthly_revenue,is_churned,customer_ltv,verified_revenue,acquisition_cost,servicing_cost,transaction_cost,support_cost,infrastructure_cost,payment_processing_cost,total_cost,gross_profit,profit_margin,monthly_profit,customer_roi,profit_per_transaction,profitability_tier,tier_rank
CUST_000001,2021-01-01,UK,Finance,Premium,2901.34,49,136196.48,2951.5920408163265,315.1850944549593,2021-01-01,2024-12-12,46.0,1.0,1462,21,1.0047846889952154,0.02,2908.06990616622,0,144628.01,136196.48,300,20429.472,24.5,3655.0,6809.8240000000005,3949.6979200000005,35168.49392,101027.98608,74.17811831847636,2073.077689740082,287.2684463253239,2061.795634285714,High Profit,3
CUST_000002,2021-01-01,Canada,Education,Professional,288.53,49,13688.19,279.3524489795918,82.93597516886676,2021-01-02,2024-12-12,47.0,0.0,1462,21,1.0047846889952154,0.0,275.2333109919571,0,13688.27,13688.19,100,2053.2285,24.5,731.0,684.4095000000001,396.95751,3990.0955100000006,9698.09449,70.85008675361752,199.0033069083447,243.05419420900023,197.92029571428571,High Profit,3
CUST_000003,2021-01-01,USA,Real Estate,Basic,42.44,49,1906.28,40.60673469387755,12.267207877738368,2021-01-03,2024-12-12,45.0,2.0,1462,21,1.0047846889952154,0.04,40.00797587131368,0,1989.73,1906.28,50,285.942,24.5,243.66666666666669,95.31400000000001,55.28212,754.7047866666667,1151.5752133333333,60.40955228682739,23.630134336525305,152.58618120332048,23.501534965986394,High Profit,3
CUST_000004,2021-01-01,USA,Finance,Enterprise,407.46,49,18881.45,411.7148979591837,38.79381883337693,2021-01-03,2024-12-12,46.0,1.0,1462,21,1.0047846889952154,0.02,405.6440348525469,0,20174.03,18881.45,200,2832.2175,24.5,1949.3333333333335,944.0725000000001,547.56205,6497.685383333333,12383.764616666667,65.58693647292272,254.11281703146375,190.58732280930715,252.72989013605442,High Profit,3
CUST_000005,2021-01-01,France,Manufacturing,Professional,267.89,3,748.56,249.52,13.26624664326724,2020-12-31,2021-03-03,3.0,0.0,1462,1401,0.0615174299384825,0.0,15.051474530831095,1,748.56,748.56,100,112.28399999999999,1.5,731.0,37.428,21.70824,1003.92024,-255.3602400000001,-34.11352997755692,-5.23995020519836,-25.43630756961331,-85.12008000000003,Loss-Making,0
CUST_000006,2021-01-01,USA,Healthcare,Premium,2014.38,49,97030.95,1981.2316326530613,612.8409091726922,2020-12-30,2024-12-10,47.0,1.0,1462,23,1.0047846889952154,0.02,1952.0177613941016,0,97080.35,97030.95,300,14554.6425,24.5,3655.0,4851.5475,2813.89755,26199.587550000004,70831.36244999999,72.99873128110154,1453.4479298905605,270.35296763669845,1445.5380091836732,High Profit,3
CUST_000007,2021-01-01,Japan,Energy,Basic,87.46,49,4243.63,88.38979591836735,9.435355604011418,2021-01-01,2024-12-11,48.0,1.0,1462,22,1.0047846889952154,0.02,87.08646112600536,0,4331.1,4243.63,50,636.5445,24.5,243.66666666666669,212.18150000000003,123.06527000000001,1289.9579366666667,2953.6720633333334,69.60248804286267,60.60886586867305,228.97429283359503,60.279021700680275,High Profit,3
CUST_000008,2021-01-01,USA,Energy,Basic,31.64,49,1495.58,32.34204081632653,3.376712515889676,2020-12-31,2024-12-10,46.0,1.0,1462,23,1.0047846889952154,0.02,31.865147453083107,0,1584.76,1495.58,50,224.337,24.5,243.66666666666669,74.779,43.37182,660.6544866666667,834.9255133333332,55.82620209773689,17.13253447332421,126.37854282136966,17.03929619047619,High Profit,3
CUST_000009,2021-01-04,UK,Education,Professional,274.28,49,13528.62,270.77530612244897,85.579998176707,2021-01-05,2024-12-13,48.0,0.0,1459,20,1.0068493150684932,0.0,267.3201477501679,0,13267.99,13528.62,100,2029.2930000000001,24.5,729.5,676.431,392.32998000000003,3952.05398,9576.56602,70.78745666594227,196.91362618231665,242.31870486748767,195.44012285714285,High Profit,3
CUST_000010,2021-01-04,UK,Consulting,Basic,38.17,49,1815.41,38.527959183673474,3.6562463558909686,2021-01-02,2024-12-15,47.0,1.0,1459,18,1.0068493150684932,0.02,38.036333109469446,0,1887.87,1815.41,50,272.3115,24.5,243.16666666666666,90.77050000000001,52.646890000000006,733.3955566666666,1082.0144433333335,59.601657109596914,22.248412131596986,147.5349057541559,22.08192741496599,High Profit,3
CUST_000011,2021-01-10,France,Media,Basic,39.8,49,1798.1,38.388571428571424,11.92256736194013,2021-01-08,2024-12-21,45.0,2.0,1453,12,1.0110041265474552,0.04,38.05205664194201,0,1881.04,1798.1,50,269.715,24.5,242.16666666666666,89.905,52.1449,728.4315666666666,1069.6684333333333,59.48881782622397,22.085377150722643,146.84542547053266,21.82996802721088,High Profit,3
CUST_000012,2021-01-11,USA,Finance,Basic,87.19,9,541.4,87.84666666666666,12.616083980379964,2021-01-11,2021-09-08,6.0,2.0,1452,1212,0.1858224363386098,0.2,16.004453441295546,1,790.62,541.4,50,81.21,4.5,242.0,27.07,15.7006,420.4806,120.9194,22.334577022534173,2.4983347107438014,28.757426620871453,13.435488888888889,Medium Profit,2
CUST_000013,2021-01-15,Germany,Consulting,Enterprise,865.33,49,40493.34,874.6236734693877,88.84349171187398,2021-01-14,2024-12-26,46.0,2.0,1448,7,1.0144927536231882,0.04,869.8895805142083,0,42856.56,40493.34,200,6074.000999999999,24.5,1930.6666666666665,2024.667,1174.30686,11428.141526666666,29065.19847333333,71.77772560458912,602.1795263812154,254.33005362693476,593.1673157823128,High Profit,3
CUST_000014,2021-01-20,USA,Finance,Professional,243.24,49,12103.19,247.0038775510204,30.396593889250603,2021-01-21,2024-12-29,49.0,0.0,1443,4,1.0180055401662051,0.0,246.50081466395116,0,12103.19,12103.19,100,1815.4785,24.5,721.5,605.1595000000001,350.99251000000004,3617.6305100000004,8485.55949,70.11010725271602,176.4149582120582,234.5612540181722,173.17468346938776,High Profit,3
CUST_000015,2021-01-23,France,Technology,Basic,57.76,48,2688.97,55.34458333333333,21.38745565506012,2021-01-21,2024-12-05,46.0,1.0,1440,28,0.9993060374739764,0.0204081632653061,54.215102040816326,0,2656.54,2688.97,50,403.34549999999996,24.0,240.0,134.4485,77.98013,929.7741299999999,1759.19587,65.42266629973558,36.649913958333336,189.20679907495386,36.649913958333336,High Profit,3
CUST_000016,2021-01-23,France,Retail,Basic,96.87,13,1250.42,96.18615384615386,8.143404835060844,2021-01-25,2022-01-16,13.0,0.0,1440,1082,0.2706453851492019,0.0,25.518775510204083,1,1250.42,1250.42,50,187.56300000000002,6.5,240.0,62.52100000000001,36.26218,582.84618,667.5738200000001,53.38796724300635,13.907787916666669,114.53687832353985,51.35183230769231,High Profit,3
