customer_id,country,industry,subscription_type,total_revenue,total_cost,gross_profit,profit_margin,monthly_profit,customer_roi,profitability_tier,customer_tenure_days,total_transactions,revenue_formatted,profit_formatted,margin_formatted,tenure_months
CUST_000001,UK,Finance,Premium,136196.48,35168.49392,101027.98608,74.17811831847636,2073.077689740082,287.2684463253239,High Profit,1462,49,"$136,196.48","$101,027.99",74.2%,48.7
CUST_000002,Canada,Education,Professional,13688.19,3990.0955100000006,9698.09449,70.85008675361752,199.0033069083447,243.05419420900023,High Profit,1462,49,"$13,688.19","$9,698.09",70.9%,48.7
CUST_000003,USA,Real Estate,Basic,1906.28,754.7047866666667,1151.5752133333333,60.40955228682739,23.630134336525305,152.58618120332048,High Profit,1462,49,"$1,906.28","$1,151.58",60.4%,48.7
CUST_000004,USA,Finance,Enterprise,18881.45,6497.685383333333,12383.764616666667,65.58693647292272,254.11281703146375,190.58732280930715,High Profit,1462,49,"$18,881.45","$12,383.76",65.6%,48.7
CUST_000005,France,Manufacturing,Professional,748.56,1003.92024,-255.3602400000001,-34.11352997755692,-5.23995020519836,-25.43630756961331,Loss-Making,1462,3,$748.56,$-255.36,-34.1%,48.7
CUST_000006,USA,Healthcare,Premium,97030.95,26199.587550000004,70831.36244999999,72.99873128110154,1453.4479298905605,270.35296763669845,High Profit,1462,49,"$97,030.95","$70,831.36",73.0%,48.7
CUST_000007,Japan,Energy,Basic,4243.63,1289.9579366666667,2953.6720633333334,69.60248804286267,60.60886586867305,228.97429283359503,High Profit,1462,49,"$4,243.63","$2,953.67",69.6%,48.7
CUST_000008,USA,Energy,Basic,1495.58,660.6544866666667,834.9255133333332,55.82620209773689,17.13253447332421,126.37854282136966,High Profit,1462,49,"$1,495.58",$834.93,55.8%,48.7
CUST_000009,UK,Education,Professional,13528.62,3952.05398,9576.56602,70.78745666594227,196.91362618231665,242.31870486748767,High Profit,1459,49,"$13,528.62","$9,576.57",70.8%,48.6
CUST_000010,UK,Consulting,Basic,1815.41,733.3955566666666,1082.0144433333335,59.601657109596914,22.248412131596986,147.5349057541559,High Profit,1459,49,"$1,815.41","$1,082.01",59.6%,48.6
CUST_000011,France,Media,Basic,1798.1,728.4315666666666,1069.6684333333333,59.48881782622397,22.085377150722643,146.84542547053266,High Profit,1453,49,"$1,798.10","$1,069.67",59.5%,48.4
CUST_000012,USA,Finance,Basic,541.4,420.4806,120.9194,22.334577022534173,2.4983347107438014,28.757426620871453,Medium Profit,1452,9,$541.40,$120.92,22.3%,48.4
