customer_id,country,industry,subscription_type,total_revenue,acquisition_cost,servicing_cost,transaction_cost,total_cost,gross_profit,profit_margin,monthly_profit,profitability_tier
CUST_000001,UK,Finance,Premium,144628.01,300,21694.2015,24.5,22018.7015,122609.30850000001,84.77562542859953,2465.3346213136733,High
CUST_000002,Canada,Education,Professional,13688.27,100,2053.2405,24.5,2177.7405,11510.5295,84.09040069314771,231.44496313672923,High
CUST_000003,USA,Real Estate,Basic,1989.73,50,298.4595,24.5,372.9595,1616.7705,81.25536502256577,32.508790214477216,High
CUST_000004,USA,Finance,Enterprise,20174.03,200,3026.1045,24.5,3250.6045,16923.425499999998,83.88714159385032,340.2833545576407,High
CUST_000005,France,Manufacturing,Professional,748.56,100,112.28399999999999,1.5,213.784,534.776,71.43967831999679,10.752868632707774,High
CUST_000006,USA,Healthcare,Premium,97080.35,300,14562.0525,24.5,14886.5525,82193.7975,84.66573208010354,1652.6902982573727,High
CUST_000007,Japan,Energy,Basic,4331.1,50,649.6650000000001,24.5,724.1650000000001,3606.9350000000004,83.27969042577999,72.52550268096516,High
CUST_000008,USA,Energy,Basic,1584.76,50,237.714,24.5,312.214,1272.546,80.29846602346082,25.587386058981235,High
CUST_000009,UK,Education,Professional,13267.99,100,1990.1985,24.5,2114.6985,11153.2915,84.06158803135362,224.7137306917394,High
CUST_000010,UK,Consulting,Basic,1887.87,50,283.1805,24.5,357.6805,1530.1895,81.0533243638367,30.82987575554063,High
CUST_000011,France,Media,Basic,1881.04,50,282.156,24.5,356.656,1524.384,81.03899417878313,30.83716790289953,High
CUST_000012,USA,Finance,Basic,790.62,50,118.59299999999999,4.5,173.093,617.527,78.10568786916762,12.500546558704455,High
CUST_000013,Germany,Consulting,Enterprise,42856.56,200,6428.4839999999995,24.5,6652.9839999999995,36203.576,84.47613983106908,734.8493098782138,High
CUST_000014,USA,Finance,Professional,12103.19,100,1815.4785,24.5,1939.9785,10163.211500000001,83.97127619142046,206.99005091649695,High
CUST_000015,France,Technology,Basic,2656.54,50,398.481,24.0,472.481,2184.059,82.21411228849448,44.57263265306123,High
