customer_id,country,industry,subscription_type,total_revenue,profit_margin,segment,segment_name
CUST_000001,UK,Finance,Premium,144628.01,84.77562542859953,1,Champions
CUST_000002,Canada,Education,Professional,13688.27,84.09040069314771,0,Loyal Customers
CUST_000003,USA,Real Estate,Basic,1989.73,81.25536502256577,0,Loyal Customers
CUST_000004,USA,Finance,Enterprise,20174.03,83.88714159385032,0,Loyal Customers
CUST_000005,France,Manufacturing,Professional,748.56,71.43967831999679,0,Loyal Customers
CUST_000006,USA,Healthcare,Premium,97080.35,84.66573208010354,1,Champions
CUST_000007,Japan,Energy,Basic,4331.1,83.27969042577999,0,Loyal Customers
CUST_000008,USA,Energy,Basic,1584.76,80.29846602346082,0,Loyal Customers
CUST_000009,UK,Education,Professional,13267.99,84.06158803135362,0,Loyal Customers
CUST_000010,UK,Consulting,Basic,1887.87,81.0533243638367,0,Loyal Customers
CUST_000011,France,Media,Basic,1881.04,81.03899417878313,0,Loyal Customers
CUST_000012,USA,Finance,Basic,790.62,78.10568786916762,0,Loyal Customers
CUST_000013,Germany,Consulting,Enterprise,42856.56,84.47613983106908,1,Champions
CUST_000014,USA,Finance,Professional,12103.19,83.97127619142046,0,Loyal Customers
CUST_000015,France,Technology,Basic,2656.54,82.21411228849448,0,Loyal Customers
CUST_000016,France,Retail,Basic,1250.42,80.48087457914478,0,Loyal Customers
CUST_000017,USA,Consulting,Premium,21537.99,83.57457284798961,1,Champions
CUST_000018,India,Real Estate,Enterprise,21317.16,83.94916398377458,0,Loyal Customers
CUST_000019,UK,Retail,Basic,2418.71,81.94017910299662,0,Loyal Customers
CUST_000020,Canada,Real Estate,Professional,13887.66,84.10706043562384,0,Loyal Customers
CUST_000021,USA,Retail,Professional,4424.32,82.45704999401039,0,Loyal Customers
CUST_000022,USA,Consulting,Enterprise,14885.48,83.59925000789359,0,Loyal Customers
CUST_000023,USA,Real Estate,Professional,11342.08,83.9066521249611,0,Loyal Customers
CUST_000024,UK,Media,Professional,9116.24,83.63969834087482,0,Loyal Customers
CUST_000025,Germany,Media,Basic,4497.23,83.35435733916802,0,Loyal Customers
CUST_000026,India,Retail,Enterprise,5096.02,80.99671705229365,0,Loyal Customers
CUST_000027,India,Finance,Enterprise,43403.75,84.48389609563779,1,Champions
CUST_000028,France,Technology,Enterprise,4356.98,80.34062506455145,0,Loyal Customers
CUST_000029,USA,Education,Basic,3184.4,82.67591170734924,0,Loyal Customers
CUST_000030,USA,Healthcare,Basic,3626.44,82.9592025258862,0,Loyal Customers
CUST_000031,UK,Energy,Basic,4197.79,83.24888036590595,0,Loyal Customers
CUST_000032,Japan,Manufacturing,Basic,1671.08,80.60116450939208,0,Loyal Customers
CUST_000033,USA,Finance,Professional,6651.29,83.14309232781561,0,Loyal Customers
CUST_000034,USA,Energy,Enterprise,18076.61,83.76354926971969,0,Loyal Customers
CUST_000035,USA,Media,Premium,8044.549999999999,81.22715847728153,0,Loyal Customers
CUST_000036,Australia,Retail,Basic,1285.05,80.52483930711406,0,Loyal Customers
CUST_000037,USA,Education,Enterprise,44183.51,84.49413604891596,1,Champions
CUST_000038,Canada,Media,Professional,5190.01,82.62026928605283,0,Loyal Customers
CUST_000039,Australia,Energy,Basic,2521.42,82.08465037696861,0,Loyal Customers
CUST_000040,UK,Media,Basic,4302.07,83.29132652112466,0,Loyal Customers
CUST_000041,Japan,Education,Professional,6734.45,83.16602222004435,0,Loyal Customers
CUST_000042,UK,Education,Basic,368.34,70.88068413193972,0,Loyal Customers
CUST_000043,UK,Education,Basic,3852.55,83.09195703636023,0,Loyal Customers
CUST_000044,Canada,Finance,Professional,5221.13,82.63445339523552,0,Loyal Customers
CUST_000045,Brazil,Real Estate,Professional,11434.43,83.91985527931406,0,Loyal Customers
CUST_000046,USA,Finance,Professional,11335.16,83.91039569763842,0,Loyal Customers
CUST_000047,Australia,Real Estate,Professional,4958.89,82.73118030208313,0,Loyal Customers
CUST_000048,Australia,Technology,Professional,4257.7,82.47496893870179,0,Loyal Customers
CUST_000049,Germany,Technology,Professional,3065.34,81.41122547180582,0,Loyal Customers
CUST_000050,USA,Finance,Basic,2866.47,82.45302601099606,0,Loyal Customers
CUST_000051,USA,Consulting,Professional,9503.23,83.70561513757413,0,Loyal Customers
CUST_000052,UK,Healthcare,Professional,1325.83,77.19298708743136,0,Loyal Customers
CUST_000053,Brazil,Retail,Basic,2183.29,81.65604818394173,0,Loyal Customers
CUST_000054,UK,Technology,Enterprise,22383.36,84.00368666559147,0,Loyal Customers
CUST_000055,USA,Consulting,Basic,2754.59,82.34957888622667,0,Loyal Customers
CUST_000056,USA,Healthcare,Basic,3921.29,83.13815571366638,0,Loyal Customers
CUST_000057,Brazil,Real Estate,Enterprise,8563.119999999999,82.59423832173516,0,Loyal Customers
CUST_000058,France,Technology,Enterprise,4387.18,80.34990506451737,0,Loyal Customers
CUST_000059,Australia,Consulting,Basic,2139.48,81.58757460890212,0,Loyal Customers
CUST_000060,Brazil,Finance,Professional,6749.02,83.17738993603525,0,Loyal Customers
CUST_000061,Australia,Technology,Enterprise,9397.63,82.8025493634572,0,Loyal Customers
CUST_000062,UK,Retail,Basic,3190.41,82.71163357802422,0,Loyal Customers
CUST_000063,USA,Finance,Professional,9840.91,83.75003048495465,0,Loyal Customers
CUST_000064,Australia,Healthcare,Enterprise,1943.92,74.63396315710958,0,Loyal Customers
CUST_000065,USA,Education,Professional,5130.97,82.61237619324184,0,Loyal Customers
CUST_000066,UK,Energy,Basic,866.44,78.47815800103872,0,Loyal Customers
CUST_000067,USA,Energy,Basic,3063.37,82.6330556444189,0,Loyal Customers
CUST_000068,India,Media,Basic,3918.84,83.1497505645789,0,Loyal Customers
CUST_000069,Germany,Technology,Professional,9816.11,83.751966153633,0,Loyal Customers
CUST_000070,UK,Education,Premium,8771.17,81.54540780145886,0,Loyal Customers
CUST_000071,India,Technology,Basic,2396.73,81.97470313842969,0,Loyal Customers
CUST_000072,Germany,Healthcare,Basic,2426.05,82.01126517893209,0,Loyal Customers
CUST_000073,USA,Healthcare,Basic,3764.93,83.07411273486429,0,Loyal Customers
CUST_000074,France,Education,Professional,5639.48,82.82766704081398,0,Loyal Customers
CUST_000075,USA,Education,Basic,391.94,71.47569843092232,0,Loyal Customers
CUST_000076,Brazil,Finance,Basic,3906.79,83.14404371864441,0,Loyal Customers
CUST_000077,USA,Real Estate,Professional,2648.03,81.01560021751938,0,Loyal Customers
CUST_000078,Singapore,Real Estate,Basic,3366.3,82.84605398789773,0,Loyal Customers
CUST_000079,Canada,Finance,Enterprise,6884.36,81.94948847897484,0,Loyal Customers
CUST_000080,USA,Real Estate,Professional,305.03,51.722888801468656,0,Loyal Customers
CUST_000081,UK,Retail,Professional,5020.15,82.55966941292708,0,Loyal Customers
CUST_000082,France,Retail,Professional,12169.64,83.99743624508511,0,Loyal Customers
CUST_000083,USA,Education,Enterprise,42288.55,84.47501522870488,1,Champions
CUST_000084,UK,Energy,Basic,2404.37,82.005111504837,0,Loyal Customers
