customer_id,signup_date,total_revenue,gross_profit,churn_probability,customer_tenure_days,lifetime_months,date_key
CUST_000001,2021-01-01,144628.01,101027.98608,0.0007121872612728,1462,48.7,20210101
CUST_000002,2021-01-01,13688.27,9698.09449,0.0010658563982259,1462,48.7,20210101
CUST_000003,2021-01-01,1989.73,1151.5752133333333,0.003479765759153,1462,48.7,20210101
CUST_000004,2021-01-01,20174.03,12383.764616666667,0.0022433535324455,1462,48.7,20210101
CUST_000005,2021-01-01,748.56,-255.3602400000001,1.0,1462,48.7,20210101
CUST_000006,2021-01-01,97080.35,70831.36244999999,0.0010411280916851,1462,48.7,20210101
CUST_000007,2021-01-01,4331.1,2953.6720633333334,0.0026956621778993,1462,48.7,20210101
CUST_000008,2021-01-01,1584.76,834.9255133333332,0.0042545389511155,1462,48.7,20210101
CUST_000009,2021-01-04,13267.99,9576.56602,0.0008217857288532,1459,48.6,20210104
CUST_000010,2021-01-04,1887.87,1082.0144433333337,0.0027861071019683,1459,48.6,20210104
CUST_000011,2021-01-10,1881.04,1069.6684333333333,0.0016183824628685,1453,48.4,20210110
CUST_000012,2021-01-11,790.62,120.9194,1.0,1452,48.4,20210111
CUST_000013,2021-01-15,42856.56,29065.19847333333,0.0008513281073623,1448,48.3,20210115
CUST_000014,2021-01-20,12103.19,8485.55949,0.0001330950547607,1443,48.1,20210120
CUST_000015,2021-01-23,2656.54,1759.19587,0.0030427933702851,1440,48.0,20210123
CUST_000016,2021-01-23,1250.42,667.5738200000001,1.0,1440,48.0,20210123
CUST_000017,2021-01-27,21537.99,12708.79029,1.0,1436,47.9,20210127
CUST_000018,2021-01-28,21317.16,13948.872346666669,0.0022969730732854,1435,47.8,20210128
CUST_000019,2021-01-30,2418.71,1477.883556666667,0.0029161927583764,1433,47.8,20210130
CUST_000020,2021-02-01,13887.66,9383.4203,0.0008132277633473,1431,47.7,20210201
CUST_000021,2021-02-01,4424.32,2583.15072,1.0,1431,47.7,20210201
CUST_000022,2021-02-04,14885.48,9375.87031,1.0,1428,47.6,20210204
CUST_000023,2021-02-07,11342.08,7935.005090000001,0.0007466539551865,1425,47.5,20210207
CUST_000024,2021-02-08,9116.24,6076.23088,0.0005778476462683,1424,47.5,20210208
CUST_000025,2021-02-11,4497.23,3073.8181166666664,0.0014575208255489,1421,47.4,20210211
CUST_000026,2021-02-12,5096.02,2425.3449566666663,1.0,1420,47.3,20210212
CUST_000027,2021-02-18,43403.75,28472.096396666668,0.0006509818537618,1414,47.1,20210218
CUST_000028,2021-02-19,4356.98,716.1478299999999,1.0,1413,47.1,20210219
CUST_000029,2021-02-20,3184.4,2048.8164266666663,0.0011641909307743,1412,47.1,20210220
CUST_000030,2021-02-20,3626.44,2249.0142866666665,0.0015829547726257,1412,47.1,20210220
CUST_000031,2021-02-22,4197.79,2780.68883,0.0069952339489274,1410,47.0,20210222
CUST_000032,2021-02-23,1671.08,896.0380566666665,0.0079770604228136,1409,47.0,20210223
CUST_000033,2021-02-27,6651.29,4077.50603,0.0058701269066737,1405,46.8,20210227
CUST_000034,2021-02-28,18076.61,11895.073709999995,0.0029721717055072,1404,46.8,20210228
CUST_000035,2021-03-03,8044.549999999999,654.9674500000001,1.0,1401,46.7,20210303
CUST_000036,2021-03-03,1285.05,699.77355,1.0,1401,46.7,20210303
CUST_000037,2021-03-05,44183.51,32087.067786666667,0.0017048328540168,1399,46.6,20210305
CUST_000038,2021-03-07,5190.01,3023.07723,0.0009364941240561,1397,46.6,20210307
CUST_000039,2021-03-08,2521.42,1553.284873333333,0.0022775310413294,1396,46.5,20210308
CUST_000040,2021-03-08,4302.07,2996.8744333333334,0.0022886264143679,1396,46.5,20210308
CUST_000041,2021-03-09,6734.45,3899.54002,0.0029481421181919,1395,46.5,20210309
CUST_000042,2021-03-09,368.34,-0.5098599999999465,1.0,1395,46.5,20210309
CUST_000043,2021-03-10,3852.55,2326.537996666667,0.0110373410261541,1394,46.5,20210310
CUST_000044,2021-03-12,5221.13,3205.99123,0.0002691363382757,1392,46.4,20210312
CUST_000045,2021-03-12,11434.43,7126.1947,0.0013784631693065,1392,46.4,20210312
CUST_000046,2021-03-16,11335.16,7923.619979999999,0.000343981028301,1388,46.3,20210316
CUST_000047,2021-03-20,4958.89,3018.80419,1.0,1384,46.1,20210320
CUST_000048,2021-03-20,4257.7,2056.7466,1.0,1384,46.1,20210320
CUST_000049,2021-03-27,3065.34,1455.5416300000002,1.0,1377,45.9,20210327
CUST_000050,2021-03-28,2866.47,1894.3458966666667,0.0044189763661717,1376,45.9,20210328
CUST_000051,2021-03-30,9503.23,5967.32901,0.0027676366682836,1374,45.8,20210330
CUST_000052,2021-03-30,1325.83,166.9046699999999,1.0,1374,45.8,20210330
CUST_000053,2021-03-31,2183.29,1177.2607766666667,0.015693290592661,1373,45.8,20210331
CUST_000054,2021-03-31,22383.36,14120.425303333332,0.0021076917956542,1373,45.8,20210331
CUST_000055,2021-04-01,2754.59,1868.6520733333327,0.0025960678006018,1372,45.7,20210401
CUST_000056,2021-04-02,3921.29,2525.31753,0.0077824966848254,1371,45.7,20210402
CUST_000057,2021-04-02,8563.119999999999,4045.49691,1.0,1371,45.7,20210402
CUST_000058,2021-04-04,4387.18,1327.4387566666664,1.0,1369,45.6,20210404
CUST_000059,2021-04-04,2139.48,1096.3248033333334,0.0135278184324189,1369,45.6,20210404
CUST_000060,2021-04-15,6749.02,4403.89994,0.0006174443587692,1358,45.3,20210415
CUST_000061,2021-04-20,9397.63,4199.64286,1.0,1353,45.1,20210420
CUST_000062,2021-04-20,3190.41,2044.77717,0.0005296227091388,1353,45.1,20210420
